Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,name
07/01/2022,3417.837891,3420.461914,3117.381348,3193.210449,24494179209,0,0,ETH,Ethereum
08/01/2022,3193.502441,3240.304443,3020.880859,3091.972656,16037732700,0,0,ETH,Ethereum
09/01/2022,3091.696289,3206.790771,3075.911377,3157.751465,12334683863,0,0,ETH,Ethereum
10/01/2022,3157.570557,3177.213379,2947.683594,3083.0979,19535744145,0,0,ETH,Ethereum
11/01/2022,3082.990967,3247.511963,3061.140625,3238.111572,15211447193,0,0,ETH,Ethereum
12/01/2022,3238.449951,3401.219971,3216.718018,3372.258301,16662871689,0,0,ETH,Ethereum
13/01/2022,3372.10498,3396.969727,3247.91748,3248.288574,15294466275,0,0,ETH,Ethereum
14/01/2022,3248.648682,3330.766113,3203.82373,3310.001465,13562957230,0,0,ETH,Ethereum
15/01/2022,3309.844238,3364.537842,3278.670898,3330.530762,9619999078,0,0,ETH,Ethereum
16/01/2022,3330.387207,3376.401123,3291.563721,3350.921875,9505934874,0,0,ETH,Ethereum
17/01/2022,3350.947266,3355.819336,3157.224121,3212.304932,12344309617,0,0,ETH,Ethereum
18/01/2022,3212.287598,3236.016113,3096.123535,3164.025146,13024154091,0,0,ETH,Ethereum
19/01/2022,3163.850342,3171.158447,3055.212402,3095.825928,13187424144,0,0,ETH,Ethereum
20/01/2022,3095.271729,3265.336914,3000.908203,3001.120117,10645922764,0,0,ETH,Ethereum
21/01/2022,3002.956787,3029.081055,2496.812988,2557.931641,26796291874,0,0,ETH,Ethereum
22/01/2022,2561.145264,2615.247314,2330.247314,2405.181152,27369692036,0,0,ETH,Ethereum
23/01/2022,2406.924316,2542.144775,2381.515137,2535.039063,16481489511,0,0,ETH,Ethereum
24/01/2022,2535.891113,2537.208496,2172.30127,2440.352295,28220804648,0,0,ETH,Ethereum
25/01/2022,2440.393555,2498.50708,2359.384766,2455.935059,16179776932,0,0,ETH,Ethereum
26/01/2022,2455.579102,2705.78418,2417.683105,2468.030273,21229909340,0,0,ETH,Ethereum
27/01/2022,2467.188477,2510.45166,2328.452148,2423.001221,16126522783,0,0,ETH,Ethereum
